Machine_ID,Hydraulic_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(?C),Spindle_Bearing_Temperature(?C),Downtime
Makino-L3-Unit1-2015,98.7,24.4,53.7,35,Machine_Failure
Makino-L3-Unit1-2015,170.0894611,7.4,49.7,34.5,No_Machine_Failure
Makino-L2-Unit1-2015,62.34,9,45.7,31.6,Machine_Failure
Makino-L2-Unit1-2015,111.7502053,9.9,44.5,44.1,No_Machine_Failure
Makino-L3-Unit1-2015,127.5689918,10.6,43.2,30.5,No_Machine_Failure
Makino-L1-Unit1-2013,111.2860766,12.2,48.2,31.5,No_Machine_Failure
Makino-L2-Unit1-2015,124.9137633,21,46,26.9,No_Machine_Failure
Makino-L1-Unit1-2013,125.95,25.6,42,38.6,Machine_Failure
Makino-L1-Unit1-2013,72.38,9.9,56.5,40,Machine_Failure
Makino-L3-Unit1-2015,78.33,9.7,48.1,35.8,Machine_Failure
Makino-L3-Unit1-2015,128.8976615,22.4,48.5,39.3,No_Machine_Failure
Makino-L3-Unit1-2015,96.96,28.7,55,38.6,Machine_Failure
Makino-L1-Unit1-2013,145.98,26.4,38.8,31,Machine_Failure
Makino-L1-Unit1-2013,51.16,27,41.4,41.6,Machine_Failure
Makino-L2-Unit1-2015,120.6057212,22.4,48.2,32.9,No_Machine_Failure
Makino-L3-Unit1-2015,85.82,27,51.6,28.7,Machine_Failure
Makino-L3-Unit1-2015,58.6,30.3,52.7,38.9,Machine_Failure
Makino-L1-Unit1-2013,127.4593591,22.4,51.8,37.1,No_Machine_Failure
Makino-L3-Unit1-2015,103.5761466,21.6,45.5,30.5,No_Machine_Failure
Makino-L1-Unit1-2013,57.3,29.8,44.9,33.8,Machine_Failure
Makino-L3-Unit1-2015,107.9309707,21.2,44.7,39.7,No_Machine_Failure
Makino-L1-Unit1-2013,116.0745108,21.2,47.8,37,No_Machine_Failure
Makino-L1-Unit1-2013,121.6326698,21.2,43.4,37.9,No_Machine_Failure
Makino-L3-Unit1-2015,134.2142583,21.2,51.1,35.3,No_Machine_Failure
Makino-L1-Unit1-2013,135.8119306,21.2,44.4,27.4,No_Machine_Failure
Makino-L2-Unit1-2015,106.1276855,5.7,45.3,33.2,No_Machine_Failure
Makino-L1-Unit1-2013,134.3099363,4.5,45,36.8,No_Machine_Failure
Makino-L2-Unit1-2015,138.7899732,21.2,49.7,34.2,No_Machine_Failure
Makino-L2-Unit1-2015,91.54,26.4,51.2,40,Machine_Failure
Makino-L1-Unit1-2013,75.53,28.7,44,35.3,Machine_Failure
Makino-L1-Unit1-2013,58.7,27,48.3,37.1,Machine_Failure
Makino-L1-Unit1-2013,99.56,25.6,46.2,35.3,Machine_Failure
Makino-L2-Unit1-2015,148.9266008,20.3,46.7,32.4,No_Machine_Failure
Makino-L2-Unit1-2015,168.7970173,20.2,49.7,37,No_Machine_Failure
Makino-L2-Unit1-2015,109.0406761,9.9,48.9,38.2,No_Machine_Failure
Makino-L1-Unit1-2013,131.2658541,20.1,47.9,27.7,No_Machine_Failure
Makino-L3-Unit1-2015,118.8639284,20.2,53.8,37,No_Machine_Failure
Makino-L3-Unit1-2015,132.8214064,5.7,44.7,34.6,No_Machine_Failure
Makino-L2-Unit1-2015,111.6968659,20.1,43,36.9,No_Machine_Failure
Makino-L2-Unit1-2015,141.5189961,22.2,49.2,33.4,No_Machine_Failure
Makino-L1-Unit1-2013,124.8479541,26.7,48.8,33,No_Machine_Failure
Makino-L3-Unit1-2015,96.371232,25.7,48.8,31.2,No_Machine_Failure
Makino-L1-Unit1-2013,99.26714472,20.3,50.7,34,No_Machine_Failure
Makino-L1-Unit1-2013,120.8177826,20.2,44.1,33.4,No_Machine_Failure
Makino-L1-Unit1-2013,125.4182022,20.2,49.9,35.9,No_Machine_Failure
Makino-L3-Unit1-2015,122.3091411,20.3,44.7,39.1,No_Machine_Failure
Makino-L2-Unit1-2015,91.77,24.4,52.3,37.1,Machine_Failure
Makino-L2-Unit1-2015,114.6794626,23.1,42.4,37.4,No_Machine_Failure
Makino-L3-Unit1-2015,64.22,30.3,44.2,27.1,Machine_Failure
Makino-L1-Unit1-2013,72.19,29.8,43.7,40.2,Machine_Failure
Makino-L1-Unit1-2013,75.27,26.4,53.9,36.6,Machine_Failure
Makino-L1-Unit1-2013,59.08,27,52.6,41.9,Machine_Failure
Makino-L1-Unit1-2013,99.19,28.7,46.9,35.9,Machine_Failure
Makino-L1-Unit1-2013,81.6,30.3,42.7,39.7,Machine_Failure
Makino-L3-Unit1-2015,95.84,29.8,50,36.7,Machine_Failure
Makino-L3-Unit1-2015,95.29,24.4,44.9,31.6,Machine_Failure
Makino-L1-Unit1-2013,91.7,25.6,45.3,38,Machine_Failure
Makino-L3-Unit1-2015,69.97,26.4,44.6,33.9,Machine_Failure
Makino-L2-Unit1-2015,50.59,28.7,46.5,34.8,Machine_Failure
Makino-L2-Unit1-2015,88.11,29.8,44.7,38.5,Machine_Failure
Makino-L3-Unit1-2015,111.1404806,20.2,44.5,37.5,No_Machine_Failure
Makino-L1-Unit1-2013,50.24,14.2,48,32.2,Machine_Failure
Makino-L1-Unit1-2013,87.17,28.7,45.4,32.6,Machine_Failure
Makino-L2-Unit1-2015,88.95,18.2,42.4,35.3,Machine_Failure
Makino-L3-Unit1-2015,82.01,8.1,47,38.1,Machine_Failure
Makino-L3-Unit1-2015,50.39,17.3,47.7,39.7,Machine_Failure
Makino-L1-Unit1-2013,145.0208641,12.2,51,37,No_Machine_Failure
Makino-L3-Unit1-2015,90.57,24.4,47.2,35.2,Machine_Failure
Makino-L1-Unit1-2013,54.6,25.6,55.2,32.9,Machine_Failure
Makino-L2-Unit1-2015,98.76,8,50.7,36,Machine_Failure
Makino-L2-Unit1-2015,73.49,21.9,46.1,29.9,Machine_Failure
Makino-L2-Unit1-2015,127.2746824,8.7,42.2,30.1,No_Machine_Failure
Makino-L1-Unit1-2013,111.8059937,7.4,52.1,33.5,No_Machine_Failure
Makino-L3-Unit1-2015,117.1226605,4.5,45.6,31.6,No_Machine_Failure
Makino-L2-Unit1-2015,123.0958075,11.9,47.3,34.5,No_Machine_Failure
Makino-L2-Unit1-2015,123.7002566,10.6,38.8,33.4,No_Machine_Failure
Makino-L2-Unit1-2015,127.1,30.3,43.3,37.2,Machine_Failure
Makino-L3-Unit1-2015,139.9493345,5.7,41.7,43.7,No_Machine_Failure
Makino-L3-Unit1-2015,139.434025,9.9,52.5,36.1,No_Machine_Failure
Makino-L3-Unit1-2015,139.434025,8.7,52.5,36.1,No_Machine_Failure
Makino-L3-Unit1-2015,70.52,25.4,47.6,36.2,Machine_Failure
Makino-L3-Unit1-2015,82.34,10.4,49.9,32.8,Machine_Failure
Makino-L2-Unit1-2015,76.22,17.3,43.3,32.9,Machine_Failure
Makino-L2-Unit1-2015,89.93,6.8,46.1,38.1,Machine_Failure
Makino-L3-Unit1-2015,87.05,7.8,48.4,33.5,Machine_Failure
Makino-L2-Unit1-2015,92.38,16.8,45.4,40.7,Machine_Failure
Makino-L2-Unit1-2015,134.1482237,7.4,46.8,26.9,No_Machine_Failure
Makino-L2-Unit1-2015,159.7620133,6.8,45.6,26.3,No_Machine_Failure
Makino-L1-Unit1-2013,95.68,14.8,48.6,32.4,Machine_Failure
Makino-L2-Unit1-2015,83.33,11.3,51.3,38.3,Machine_Failure
Makino-L2-Unit1-2015,171,15.2,48.6,34.2,Machine_Failure
Makino-L2-Unit1-2015,68.27,31.2,44.4,30.5,Machine_Failure
Makino-L3-Unit1-2015,67.14,6.4,44.4,37.4,Machine_Failure
Makino-L3-Unit1-2015,59.37,17.5,48.6,42.3,Machine_Failure
Makino-L2-Unit1-2015,97.64,9.2,45.3,30.2,Machine_Failure
Makino-L2-Unit1-2015,93.05,10.1,50.4,43.8,Machine_Failure
Makino-L3-Unit1-2015,99.39,16.2,49.2,39.2,Machine_Failure
Makino-L3-Unit1-2015,76.97,18.4,42.5,40.5,Machine_Failure
Makino-L1-Unit1-2013,71.75,16.2,42.8,31.6,Machine_Failure
Makino-L1-Unit1-2013,55.15,12.3,46.2,36.2,Machine_Failure
Makino-L1-Unit1-2013,93.1,18.2,48.2,37.4,Machine_Failure
Makino-L1-Unit1-2013,91.92,18.8,37.1,37.6,Machine_Failure
Makino-L2-Unit1-2015,134.9818453,26.5,51.7,35.3,No_Machine_Failure
Makino-L3-Unit1-2015,91.1738057,26.7,47.1,31,No_Machine_Failure
Makino-L3-Unit1-2015,162.9963,26.8,50,37.5,No_Machine_Failure
Makino-L1-Unit1-2013,107.4031822,6.8,45.4,37.1,No_Machine_Failure
Makino-L3-Unit1-2015,143.8245061,7.4,50.2,25.5,No_Machine_Failure
Makino-L1-Unit1-2013,131.3817088,26.8,47.7,36.2,No_Machine_Failure
Makino-L1-Unit1-2013,115.0651448,26.7,46.5,34.1,No_Machine_Failure
Makino-L2-Unit1-2015,115.8137359,26.7,41.8,42,No_Machine_Failure
Makino-L2-Unit1-2015,125.2182918,26.7,48.6,31.9,No_Machine_Failure
Makino-L3-Unit1-2015,100.922193,26.5,37.8,26.5,No_Machine_Failure
Makino-L1-Unit1-2013,141.6807075,26.6,51.6,34.1,No_Machine_Failure
Makino-L2-Unit1-2015,141.7204771,26.7,51.2,33.9,No_Machine_Failure
Makino-L3-Unit1-2015,130.7696259,26.7,46.8,31.5,No_Machine_Failure
Makino-L1-Unit1-2013,115.6612125,26.5,46.2,34.6,No_Machine_Failure
Makino-L1-Unit1-2013,101.5518705,26.8,46.6,29.9,No_Machine_Failure
Makino-L2-Unit1-2015,111.1316179,22.1,48.9,34.4,No_Machine_Failure
Makino-L1-Unit1-2013,94.3,24.1,47.4,42.2,Machine_Failure
Makino-L3-Unit1-2015,114.1963231,22.1,48.1,37.5,No_Machine_Failure
Makino-L1-Unit1-2013,115.8742504,22.1,48.7,32.8,No_Machine_Failure
Makino-L2-Unit1-2015,137.725198,22,51.8,37.5,No_Machine_Failure
Makino-L2-Unit1-2015,89.69829109,22.2,49.2,34.9,No_Machine_Failure
Makino-L3-Unit1-2015,121,17,49.6,33.7,Machine_Failure
Makino-L3-Unit1-2015,94.3,11.4,44.6,36.8,Machine_Failure
Makino-L1-Unit1-2013,59.65,15.7,49.9,33.5,Machine_Failure
Makino-L1-Unit1-2013,82.23,6.6,48.9,34.2,Machine_Failure
Makino-L1-Unit1-2013,58.18,33.6,51.4,38.7,Machine_Failure
Makino-L2-Unit1-2015,73.63,25.8,49,35,Machine_Failure
Makino-L1-Unit1-2013,112.4306642,21.6,40.5,31.4,No_Machine_Failure
Makino-L3-Unit1-2015,147.7297129,21.7,52.3,32.4,No_Machine_Failure
Makino-L2-Unit1-2015,124.9278409,21.1,46.8,27.3,No_Machine_Failure
Makino-L1-Unit1-2013,140.5744191,21.1,47.1,37.7,No_Machine_Failure
Makino-L1-Unit1-2013,61.89,5.9,44,35.9,Machine_Failure
Makino-L2-Unit1-2015,107.931661,21,45.7,25.2,No_Machine_Failure
Makino-L3-Unit1-2015,111.7500504,21.1,43.9,34,No_Machine_Failure
Makino-L2-Unit1-2015,111.8191497,21,45.9,37.9,No_Machine_Failure
Makino-L3-Unit1-2015,127.5308711,21.1,46.1,37.1,No_Machine_Failure
Makino-L2-Unit1-2015,74.46,12.6,41,35.3,Machine_Failure
Makino-L3-Unit1-2015,86.44,25.3,55,39.6,Machine_Failure
Makino-L3-Unit1-2015,51.83,21.1,40.4,32.1,Machine_Failure
Makino-L3-Unit1-2015,82.47,24.2,46.2,31,Machine_Failure
Makino-L1-Unit1-2013,71.64,32.5,44.7,35.6,Machine_Failure
Makino-L1-Unit1-2013,98.82,18.8,53.4,37.8,Machine_Failure
Makino-L3-Unit1-2015,70.4,12.8,46.4,29.6,Machine_Failure
Makino-L3-Unit1-2015,86.78,26.1,48.3,30.8,Machine_Failure
Makino-L1-Unit1-2013,63.81,4.5,51.1,27.7,Machine_Failure
Makino-L2-Unit1-2015,80.28,22.2,50.7,34.9,Machine_Failure
Makino-L1-Unit1-2013,64.26,7.7,55.8,38.4,Machine_Failure
Makino-L2-Unit1-2015,73.41,26.7,43.7,31.8,Machine_Failure
Makino-L2-Unit1-2015,117.4018051,26.6,50,36.8,No_Machine_Failure
Makino-L2-Unit1-2015,77.84,25.8,44.7,34.7,Machine_Failure
Makino-L3-Unit1-2015,66.22,18.6,43.7,32.6,Machine_Failure
Makino-L3-Unit1-2015,83.86,17,49.2,43,Machine_Failure
Makino-L3-Unit1-2015,94.72,25.2,50.3,41.1,Machine_Failure
Makino-L3-Unit1-2015,115.4623124,11.9,49.3,40.2,No_Machine_Failure
Makino-L1-Unit1-2013,142.1885663,12.2,50.1,30.5,No_Machine_Failure
Makino-L1-Unit1-2013,125.4765988,4.5,51.4,31.2,No_Machine_Failure
Makino-L3-Unit1-2015,123.3352471,5.7,50.7,35.4,No_Machine_Failure
Makino-L1-Unit1-2013,148.6975968,6.8,47.3,29.9,No_Machine_Failure
Makino-L3-Unit1-2015,137.5388771,7.4,54.3,32.8,No_Machine_Failure
Makino-L2-Unit1-2015,132.4456336,11.9,42.7,35.7,No_Machine_Failure
Makino-L1-Unit1-2013,130.8490799,7.4,45.4,40.2,No_Machine_Failure
Makino-L1-Unit1-2013,134.7344374,8.7,44.2,29.4,No_Machine_Failure
Makino-L2-Unit1-2015,100.4457505,9.9,53,33.7,No_Machine_Failure
Makino-L2-Unit1-2015,112.5134645,10.6,51.2,37.3,No_Machine_Failure
Makino-L3-Unit1-2015,71.68,6.7,48.7,41.9,Machine_Failure
Makino-L1-Unit1-2013,118.8846354,26.6,48,25.2,No_Machine_Failure
Makino-L2-Unit1-2015,63.64,4.9,41.5,33.8,Machine_Failure
Makino-L3-Unit1-2015,157.47,8.6,42.6,37.3,Machine_Failure
Makino-L2-Unit1-2015,121.86,25.8,50,29.8,Machine_Failure
Makino-L3-Unit1-2015,79.83,13.4,50.7,37.6,Machine_Failure
Makino-L3-Unit1-2015,125.2816829,12.2,40.9,36.3,No_Machine_Failure
Makino-L3-Unit1-2015,106.3814897,26.6,53.3,35,No_Machine_Failure
Makino-L3-Unit1-2015,95.1,15.6,41.9,37.9,Machine_Failure
Makino-L1-Unit1-2013,124.9364624,8.7,50.1,34.2,No_Machine_Failure
Makino-L2-Unit1-2015,61.21,7.1,49.5,28.3,Machine_Failure
Makino-L2-Unit1-2015,61.2,6.8,41.7,35.4,Machine_Failure
Makino-L1-Unit1-2013,55.29,22.4,49.7,30.5,Machine_Failure
Makino-L3-Unit1-2015,53.45,8.4,49.1,38.5,Machine_Failure
Makino-L3-Unit1-2015,121,5.8,46.7,37.2,Machine_Failure
Makino-L3-Unit1-2015,157.47,16.6,49.5,46.3,Machine_Failure
Makino-L1-Unit1-2013,85.1,19.1,42.9,31.4,Machine_Failure
Makino-L3-Unit1-2015,69.49,8.9,45.1,37.1,Machine_Failure
Makino-L2-Unit1-2015,67.94,23,48,35.2,Machine_Failure
Makino-L3-Unit1-2015,71.06,9,44,37.3,Machine_Failure
Makino-L3-Unit1-2015,90.89,24.4,51.8,35.2,Machine_Failure
Makino-L1-Unit1-2013,123.4926704,12.2,,40.3,No_Machine_Failure
Makino-L1-Unit1-2013,87.45,14,48.5,34,Machine_Failure
Makino-L1-Unit1-2013,98.49,21.3,45.5,39.9,Machine_Failure
Makino-L1-Unit1-2013,137.6178643,25.5,48.2,35.4,No_Machine_Failure
Makino-L3-Unit1-2015,90.94,17.3,45.1,33.1,Machine_Failure
Makino-L1-Unit1-2013,137.6843499,25.6,48.7,30.9,No_Machine_Failure
Makino-L1-Unit1-2013,154.0503708,25.5,48,41.3,No_Machine_Failure
Makino-L1-Unit1-2013,85.04536536,5.7,50.4,32.1,No_Machine_Failure
Makino-L3-Unit1-2015,124.6923147,9.9,42.6,29.8,No_Machine_Failure
Makino-L2-Unit1-2015,122.0287909,8.7,51.1,35.9,No_Machine_Failure
Makino-L3-Unit1-2015,93.99138933,7.4,49.2,34,No_Machine_Failure
Makino-L2-Unit1-2015,131.6365449,6.8,52.1,33.4,No_Machine_Failure
Makino-L1-Unit1-2013,141.3716044,25.7,45.5,26.2,No_Machine_Failure
Makino-L3-Unit1-2015,117.7085579,25.5,41.3,39.1,No_Machine_Failure
Makino-L1-Unit1-2013,141.2648858,4.5,48,36.5,No_Machine_Failure
Makino-L2-Unit1-2015,121.86,14.9,48.5,31.4,Machine_Failure
Makino-L3-Unit1-2015,60.41,17,53.9,33.3,Machine_Failure
Makino-L1-Unit1-2013,100.5678418,22.1,49,37.2,No_Machine_Failure
Makino-L1-Unit1-2013,124.3522978,22.9,50,36.1,No_Machine_Failure
Makino-L2-Unit1-2015,112.4504743,22.1,51.8,31,No_Machine_Failure
Makino-L3-Unit1-2015,170.8247625,22.2,41.7,32.6,No_Machine_Failure
Makino-L3-Unit1-2015,121.8694483,22.1,43.6,34.6,No_Machine_Failure
Makino-L3-Unit1-2015,170.8247625,22.3,41.7,32.6,No_Machine_Failure
Makino-L1-Unit1-2013,88.33477872,22.1,49.7,38.6,No_Machine_Failure
Makino-L3-Unit1-2015,154.825822,22.5,50.3,31.3,No_Machine_Failure
Makino-L2-Unit1-2015,121.9742799,22.1,47,34.1,No_Machine_Failure
Makino-L2-Unit1-2015,103.7258973,22.2,44,29,No_Machine_Failure
Makino-L1-Unit1-2013,76.69,23.7,51.7,29.4,Machine_Failure
Makino-L3-Unit1-2015,88.16,5.3,41.9,40.5,Machine_Failure
Makino-L1-Unit1-2013,83.64,23.4,50.1,35.2,Machine_Failure
Makino-L3-Unit1-2015,124.2278676,21.7,50.1,40,No_Machine_Failure
Makino-L1-Unit1-2013,145.6820707,21.7,45.9,37.1,No_Machine_Failure
Makino-L3-Unit1-2015,86.16,8.6,47.1,27.4,Machine_Failure
Makino-L3-Unit1-2015,92.13,26.4,41.8,38.6,Machine_Failure
Makino-L3-Unit1-2015,71.18,25.6,48.6,40.1,Machine_Failure
Makino-L3-Unit1-2015,94.17,19.1,46.6,32.4,Machine_Failure
Makino-L2-Unit1-2015,71.75,20.5,53.1,34.6,Machine_Failure
Makino-L2-Unit1-2015,74.82,26.6,51.1,33.1,Machine_Failure
Makino-L3-Unit1-2015,159.2557648,6.8,47.3,31.8,No_Machine_Failure
Makino-L3-Unit1-2015,76.48,4.1,43.4,41.1,Machine_Failure
Makino-L2-Unit1-2015,93.54,29.5,48.4,37.2,Machine_Failure
Makino-L2-Unit1-2015,82.15,20.3,43.4,35.8,Machine_Failure
Makino-L1-Unit1-2013,94.76,4.9,46.7,36,Machine_Failure
Makino-L2-Unit1-2015,62.64,26.4,43.5,35.8,Machine_Failure
Makino-L1-Unit1-2013,55.12,28.7,46.9,40.1,Machine_Failure
Makino-L3-Unit1-2015,68.31,29.8,50.3,28.5,Machine_Failure
Makino-L1-Unit1-2013,61.18,30.3,44.2,33.4,Machine_Failure
Makino-L1-Unit1-2013,121.86,24.4,42.6,37.4,Machine_Failure
Makino-L3-Unit1-2015,157.47,25.6,47.5,25.3,Machine_Failure
Makino-L2-Unit1-2015,79.13,28.7,51,38.5,Machine_Failure
Makino-L1-Unit1-2013,60.95,27,50.8,32,Machine_Failure
Makino-L3-Unit1-2015,138.9109883,27.5,48,36.5,No_Machine_Failure
Makino-L3-Unit1-2015,93.28,25,48.6,36.4,Machine_Failure
Makino-L1-Unit1-2013,77.2,22.6,43,35.1,Machine_Failure
Makino-L3-Unit1-2015,117.8074037,27.4,46.8,40.5,No_Machine_Failure
Makino-L1-Unit1-2013,105.1954291,26.9,48.4,33.3,No_Machine_Failure
Makino-L2-Unit1-2015,117.9325049,26.9,40,39.8,No_Machine_Failure
Makino-L1-Unit1-2013,110.4003983,27.1,49.4,30.2,No_Machine_Failure
Makino-L3-Unit1-2015,98.13613692,27.3,44.1,24.8,No_Machine_Failure
Makino-L3-Unit1-2015,134.8331238,27.4,52.8,33.3,No_Machine_Failure
Makino-L2-Unit1-2015,126.479953,27.4,48.5,34,No_Machine_Failure
Makino-L3-Unit1-2015,99.23632382,26.9,46.3,32,No_Machine_Failure
Makino-L1-Unit1-2013,117.363402,27.4,45.9,37.1,No_Machine_Failure
Makino-L2-Unit1-2015,111.9864263,27.4,44.3,29.2,No_Machine_Failure
Makino-L3-Unit1-2015,61.07,7.5,48,30.9,Machine_Failure
Makino-L1-Unit1-2013,92.28,15.7,51.7,32.5,Machine_Failure
Makino-L3-Unit1-2015,97.74,18.7,50.1,32.1,Machine_Failure
Makino-L2-Unit1-2015,79.8,12.6,46.6,39.1,Machine_Failure
Makino-L3-Unit1-2015,90.94,13.1,45.3,34.2,Machine_Failure
Makino-L1-Unit1-2013,74.3,25.8,53.2,33.3,Machine_Failure
Makino-L2-Unit1-2015,53.7,13.4,51.1,30.8,Machine_Failure
Makino-L3-Unit1-2015,84.18,30.3,45.9,31.5,Machine_Failure
Makino-L3-Unit1-2015,83.61,29.8,48.3,39.4,Machine_Failure
Makino-L1-Unit1-2013,79.76,6,39.6,36,Machine_Failure
Makino-L1-Unit1-2013,91.73,27,47.5,37.2,Machine_Failure
Makino-L3-Unit1-2015,155,23.7,50.2,34.6,Machine_Failure
Makino-L2-Unit1-2015,57.35,13.4,43.9,43,Machine_Failure
Makino-L3-Unit1-2015,63.56,18.6,48.5,28.8,Machine_Failure
Makino-L3-Unit1-2015,132.5935379,9.9,46,34.2,No_Machine_Failure
Makino-L2-Unit1-2015,68.96,10.1,47.5,29.7,Machine_Failure
Makino-L1-Unit1-2013,157.2879336,8.7,47.2,37.4,No_Machine_Failure
Makino-L1-Unit1-2013,119.7278521,25.2,49.5,33,No_Machine_Failure
Makino-L2-Unit1-2015,112.1586209,25.1,46.8,39.2,No_Machine_Failure
Makino-L2-Unit1-2015,94.11683041,25.6,51.7,25.6,No_Machine_Failure
Makino-L2-Unit1-2015,102.6460115,25.3,49.3,33.1,No_Machine_Failure
Makino-L1-Unit1-2013,107.8408889,25.1,39.2,33,No_Machine_Failure
Makino-L1-Unit1-2013,125.5726631,25.3,44.6,33.4,No_Machine_Failure
Makino-L3-Unit1-2015,135.6459871,4.5,45.3,34.5,No_Machine_Failure
Makino-L1-Unit1-2013,86.42,10.9,49,28.2,Machine_Failure
Makino-L1-Unit1-2013,62.22,8,50.9,40.4,Machine_Failure
Makino-L2-Unit1-2015,101.2515747,5.7,44.2,37.9,No_Machine_Failure
Makino-L1-Unit1-2013,83.64,24.1,40.8,33.8,Machine_Failure
Makino-L2-Unit1-2015,69.29,18.4,48.8,44.9,Machine_Failure
Makino-L3-Unit1-2015,77.46,18.1,52.8,28.4,Machine_Failure
Makino-L1-Unit1-2013,98.48160138,25.3,46.7,35.8,No_Machine_Failure
Makino-L2-Unit1-2015,100.5120425,6.8,46.8,35.9,No_Machine_Failure
Makino-L1-Unit1-2013,141.1572045,8.7,48.1,34.8,No_Machine_Failure
Makino-L1-Unit1-2013,157.761218,6.8,44.2,34,No_Machine_Failure
Makino-L2-Unit1-2015,121.386864,5.7,49.2,32.4,No_Machine_Failure
Makino-L2-Unit1-2015,101.6574135,25.3,55.3,34.5,No_Machine_Failure
Makino-L3-Unit1-2015,145.6007457,7.4,45,36.3,No_Machine_Failure
Makino-L2-Unit1-2015,111.8119547,6.8,48,36.3,No_Machine_Failure
Makino-L2-Unit1-2015,120.2259923,5.7,48.5,37.7,No_Machine_Failure
Makino-L2-Unit1-2015,118.0076619,4.5,47,40.6,No_Machine_Failure
Makino-L1-Unit1-2013,89.76794082,12.2,50.6,37.5,No_Machine_Failure
Makino-L2-Unit1-2015,121.86,19.3,50.8,37.2,Machine_Failure
Makino-L1-Unit1-2013,157.47,9.7,50.4,27.7,Machine_Failure
Makino-L1-Unit1-2013,88.51,19.6,51,36.5,Machine_Failure
Makino-L1-Unit1-2013,115.7760929,11.9,49.5,40.5,No_Machine_Failure
Makino-L2-Unit1-2015,160.0302476,10.6,44.5,31.6,No_Machine_Failure
Makino-L1-Unit1-2013,137.8757117,7.4,49.4,37,No_Machine_Failure
Makino-L2-Unit1-2015,148.3981821,5.7,49.3,37,No_Machine_Failure
Makino-L3-Unit1-2015,147.1670083,6.8,47.4,28.9,No_Machine_Failure
Makino-L1-Unit1-2013,55.58,26.3,44.1,45.7,Machine_Failure
Makino-L1-Unit1-2013,69.66,11,44.1,34.5,Machine_Failure
Makino-L2-Unit1-2015,70.74977393,9.9,47.2,24.9,No_Machine_Failure
Makino-L2-Unit1-2015,128.9591432,27,51.6,34,No_Machine_Failure
Makino-L2-Unit1-2015,116.6516877,26.9,46.9,35.3,No_Machine_Failure
Makino-L2-Unit1-2015,91.45755882,27,51.5,38.3,No_Machine_Failure
Makino-L3-Unit1-2015,106.2246934,27,50.4,41.5,No_Machine_Failure
Makino-L3-Unit1-2015,60.81,19.8,49.3,31.2,Machine_Failure
Makino-L2-Unit1-2015,99.94,9.2,50.1,32.3,Machine_Failure
Makino-L1-Unit1-2013,56.5,4.5,55.9,37.8,Machine_Failure
Makino-L1-Unit1-2013,77.99,16.3,52.4,30.7,Machine_Failure
Makino-L3-Unit1-2015,71.49,25.4,57.9,35.1,Machine_Failure
Makino-L1-Unit1-2013,95.17,12.2,47.3,31.8,Machine_Failure
Makino-L3-Unit1-2015,77.75,13,45,38.8,Machine_Failure
Makino-L1-Unit1-2013,80.23,8.2,44.8,29.2,Machine_Failure
Makino-L2-Unit1-2015,64.78,21.7,50.1,34.9,Machine_Failure
Makino-L3-Unit1-2015,52.8,8.2,43.5,34.9,Machine_Failure
Makino-L2-Unit1-2015,88.73,18.7,38.8,26.3,Machine_Failure
Makino-L2-Unit1-2015,82.74,8.6,48.7,35.6,Machine_Failure
